Job,2015,2014,2013,2012,2011,Industry
Locomotive engineers and operators,,61724,72592,,,Transportation and material moving occupations
Railroad conductors and yardmasters,58084,,,,,Transportation and material moving occupations
Parking lot attendants,25584,22880,21996,21008,,Transportation and material moving occupations
Automotive and watercraft service attendants,23504,26624,20696,22256,,Transportation and material moving occupations
Transportation inspectors,,47268,,,,Transportation and material moving occupations
Crane and tower operators,51376,49868,43992,39156,38428,Transportation and material moving occupations
Industrial truck and tractor operators,31668,30888,29068,29224,29224,Transportation and material moving occupations
Cleaners of vehicles and equipment,25220,25064,22308,22100,24180,Transportation and material moving occupations
"Laborers and freight, stock, and material movers, hand",27352,27716,26572,26520,26468,Transportation and material moving occupations
"Packers and packagers, hand",22776,21476,21944,21008,20644,Transportation and material moving occupations
Refuse and recyclable material collectors,26052,28600,28600,26052,28132,Transportation and material moving occupations
,,,,,,
,,,,,,
Ð,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
